,Название товара в срм,id товара,Product-id,offer_article,offer_purchasePrice,product_category
0,"Спорт Шорты (Серый, L)",76,040001_1_L,0302010001,,timur
1,"Спорт Шорты (Серый, XL)",77,040001_1_XL,0302010001,,timur
2,"Спорт Шорты (Серый, 2XL)",78,040001_1_2XL,0302010001,,timur
3,"Спорт Шорты (Серый, 3XL)",79,040001_1_3XL,0302010001,,timur
4,"Спорт Шорты (Черный, L)",80,040001_2_L,0302010001,,timur
5,"Спорт Шорты (Черный, XL)",81,040001_2_XL,0302010001,,timur
6,"Спорт Шорты (Черный, 2XL)",82,040001_2_2XL,0302010001,,timur
7,"Спорт Шорты (Черный, 3XL)",83,040001_2_3XL,0302010001,,timur
8,Спорт Шорты Хаки L,95,040001_3_L,0302010001,,timur
9,Спорт Шорты Хаки XL,96,040001_3_XL,0302010001,,timur
10,Спорт Шорты Хаки XXL,97,040001_3_XXL,0302010001,,timur
11,Спорт Шорты Хаки XXXL,98,040001_3_XXXL,0302010001,,timur
12,"Спорт Шорты (Черный, 4XL)",461,040001_2_4XL,0302010001,,timur
13,"Спорт Шорты (Серый, М)",462,040001_1_M,0302010001,,timur
14,"Спорт Шорты (Черный, М)",463,040001_2_M,0302010001,,timur
15,Спорт Шорты,1341,04000150,0302010001,,timur
16,"Спорт Шорты (Серый, 4XL)",1718,040001_1_4XL,0302010001,,timur
17,Органайзер белья (сет из 3),85,040002_1,0804001006,,timur
18,Органайзер белья (сет из 6),86,040002_2,0804001006,,timur
19,Пищевые банки-контейнер (сет 16+4 шт),87,040003_1,0804004001,,timur
20,"Зеркала- стикеры, шестигранник (сет 5 штук)",88,040004_1_1,0805014001,,timur
21,"Зеркала- стикеры, шестигранник (сет 7 штук)",89,040004_1_2,0805014001,,timur
22,"Зеркала- стикеры, шестигранник (сет 12 штук)",90,040004_1_3,0805014001,,timur
23,"Зеркала- стикеры, квадрат (сет 5 шт)",91,040004_2_1,0805014001,,timur
