,Название товара в срм,Product-id,offer_article,offer_purchasePrice,product_category
0,"Спорт Шорты (Серый, L)",040001_1_L,0302010001,,timur
0,"Спорт Шорты (Серый, XL)",040001_1_XL,0302010001,,timur
0,"Спорт Шорты (Серый, 2XL)",040001_1_2XL,0302010001,,timur
0,"Спорт Шорты (Серый, 3XL)",040001_1_3XL,0302010001,,timur
0,"Спорт Шорты (Черный, L)",040001_2_L,0302010001,,timur
0,"Спорт Шорты (Черный, XL)",040001_2_XL,0302010001,,timur
0,"Спорт Шорты (Черный, 2XL)",040001_2_2XL,0302010001,,timur
0,"Спорт Шорты (Черный, 3XL)",040001_2_3XL,0302010001,,timur
0,Спорт Шорты Хаки L,040001_3_L,0302010001,,timur
0,Спорт Шорты Хаки XL,040001_3_XL,0302010001,,timur
0,Спорт Шорты Хаки XXL,040001_3_XXL,0302010001,,timur
0,Спорт Шорты Хаки XXXL,040001_3_XXXL,0302010001,,timur
0,"Спорт Шорты (Черный, 4XL)",040001_2_4XL,0302010001,,timur
0,"Спорт Шорты (Серый, М)",040001_1_M,0302010001,,timur
0,"Спорт Шорты (Черный, М)",040001_2_M,0302010001,,timur
0,Спорт Шорты,04000150,0302010001,,timur
0,"Спорт Шорты (Серый, 4XL)",040001_1_4XL,0302010001,,timur
1,Органайзер белья (сет из 3),040002_1,0804001006,,timur
1,Органайзер белья (сет из 6),040002_2,0804001006,,timur
2,Пищевые банки-контейнер (сет 16+4 шт),040003_1,0804004001,,timur
3,"Зеркала- стикеры, шестигранник (сет 5 штук)",040004_1_1,0805014001,,timur
3,"Зеркала- стикеры, шестигранник (сет 7 штук)",040004_1_2,0805014001,,timur
3,"Зеркала- стикеры, шестигранник (сет 12 штук)",040004_1_3,0805014001,,timur
3,"Зеркала- стикеры, квадрат (сет 5 шт)",040004_2_1,0805014001,,timur
3,"Зеркала- стикеры, квадрат (сет 7 шт)",040004_2_2,0805014001,,timur
3,"Зеркала- стикеры, квадрат (сет 12 шт)",040004_2_3,0805014001,,timur
4,Доставка по Узб 30,,,,delivery
4,Доставка Дал. регион 35,,,,delivery
4,Доставка НУКУС 40,,,,delivery
4,Доставка- Ташкент 20,,,,delivery
4,Доставка- Ташкент 25,,,,delivery
4,Доставка Ташкент 30,,,,delivery
5,hairflame,,0603001001,,timur
6,Caboki- Загуститель для волос (Черный),040007_1,040007_1,,timur
6,Caboki- Загуститель для волос (Коричневый),040007_2,040007_2,,timur
7,Точилка для ножей Laser,040008,0801003003,,timur
8,Черный клатч,1001,uzb-tim-vlad-0003,3.0,uzb-tim-vlad
8,Красный клатч,1002,uzb-tim-vlad-0003,3.0,uzb-tim-vlad
8,Розовый клатч,1003,uzb-tim-vlad-0003,3.0,uzb-tim-vlad
8,Голубой клатч,1004,uzb-tim-vlad-0003,3.0,uzb-tim-vlad
8,Подарок: часы,1005,uzb-tim-vlad-0003,3.0,uzb-tim-vlad
9,Набор каллиграфических тетрадей (4 шт.),040009,1612001001,,timur
9,Доп. чернила,040009_1,1612001001,,timur
10,Доставка- Ташкент 25,,,,delivery
10,Доставка по Узб 30,,,,delivery
10,Доставка Дал. регион 35,,,,delivery
10,Доставка НУКУС 40,,,,delivery
10,Доставка Ташкент 30,,,,delivery
11,Вешалка Многофункционал. (Набор 4 шт),0400010,0804001002,,timur
12,Скрабер массажер для душа (Набор 2 шт.) (Син-Син),0400011_1,0703001003,,timur
12,Скрабер массажер для душа (Набор 2 шт.) (Син-Роз),0400011_2,0703001003,,timur
12,Скрабер массажер для душа (Набор 2 шт.) (Роз-Роз),0400011_3,0703001003,,timur
13,Авто Органайзер (черно-красный),,1004005001,,timur
13,Авто Органайзер (черный),,1004005001,,timur
14,Леггинсы- Корсет (M),0400013_1,0301010001,,timur
14,Леггинсы- Корсет (L),0400013_2,0301010001,,timur
14,Леггинсы- Корсет (XL),0400013_3,0301010001,,timur
14,Леггинсы- Корсет (XXL),0400013_4,0301010001,,timur
14,Леггинсы- Корсет (S),0400013_5,0301010001,,timur
15,Авто Органайзер (Черный),0400014-1,0400014-1,,timur
15,Авто Органайзер (Черно-Красный),0400014-2,0400014-2,,timur
16,Caboki- Загуститель волос (Черный),0400015_1,0603003001,,timur
16,Caboki- Загуститель волос (Коричневый),0400015_2,0603003001,,timur
17,Чехол-Диван- Шапито Сер-1мест,0400016_1,0804001016,,timur
17,Чехол-Диван- Шапито Сер-2мест,0400016_2,0804001016,,timur
17,Чехол-Диван- Шапито Сер-3мест,0400016_3,0804001016,,timur
17,Чехол-Диван- Шапито Сер-4мест,0400016_4,0804001016,,timur
17,Чехол-Диван- Шапито Оранж-1мест,0400016_5,0804001016,,timur
17,Чехол-Диван- Шапито Оранж-2мест,0400016_6,0804001016,,timur
17,Чехол-Диван- Шапито Оранж-3мест,0400016_7,0804001016,,timur
17,Чехол-Диван- Шапито Оранж-4мест,0400016_8,0804001016,,timur
17,Чехол для Дивана Серый Однотон-1мест,,0804001016,,timur
17,Чехол для Дивана Серый Однотон-2мест,,0804001016,,timur
17,Чехол для Дивана  Серый Однотон-3мест,,0804001016,,timur
17,Чехол для Дивана Серый Однотон-4мест,,0804001016,,timur
18,Промо:Вешалка универсал 2шт,0400017_1,0400017_1,,timur
18,Промо:Вешалка универсал 4 шт,0400017_2,0400017_2,,timur
19,5D Карбон Лента Авто (5см),0400018_11,1004003001,,timur
19,5D Карбон Лента Авто (7см),0400018_2,1004003001,,timur
20,Органайзер для багажа (Синий),0400019,0804001007,,timur
20,Органайзер для багажа (Оранжевый),0400019_1,0804001007,,timur
21,Коврик для малышей,0400020,0802004004,,timur
22,Лента Flex Tape (чер.),0400021,0400021,,timur
23,Kylie Набор помада Birthday Set,0400021,uzb-tim-vlad-0001,5.0,uzb-tim-vlad
24,Доставка Самовывоз,,,,delivery
25,Белая Лента- 3метр,0400024,0908001001,,timur
26,Ободок с заколками (2+1)-(чёрн-чёрн),0400025,0501001003,,timur
